"","horario","temp","vento","umid","sensa","ano","mes","dia","dia_do_mes","hora","min"
"272819",2020-05-14 17:40:00,22.2,22.5,71.4,21,2020,5,135,14,17,40
"272820",2020-05-14 17:50:00,22,25.7,72,20.9,2020,5,135,14,17,50
"272821",2020-05-14 18:00:00,22,24,72,20.9,2020,5,135,14,18,0
"272822",2020-05-14 18:10:00,22,23.5,72.2,20.8,2020,5,135,14,18,10
"272823",2020-05-14 18:20:00,21.8,23.3,73.2,20.6,2020,5,135,14,18,20
"272824",2020-05-14 18:30:00,21.3,27.6,74.9,20.1,2020,5,135,14,18,30
"272825",2020-05-14 18:40:00,21.1,37.9,75.9,19.9,2020,5,135,14,18,40
"272826",2020-05-14 18:50:00,20,53.8,80.6,18.8,2020,5,135,14,18,50
"272827",2020-05-14 19:00:00,19.6,48.9,82.2,18.3,2020,5,135,14,19,0
"272828",2020-05-14 19:10:00,19.3,50.2,82.5,18,2020,5,135,14,19,10
"272829",2020-05-14 19:20:00,19.2,48.4,82.4,17.9,2020,5,135,14,19,20
"272830",2020-05-14 19:30:00,19.1,41.6,82.2,17.8,2020,5,135,14,19,30
"272831",2020-05-14 19:40:00,19.1,44.1,81.2,17.8,2020,5,135,14,19,40
"272832",2020-05-14 19:50:00,19.1,38.1,80.9,17.8,2020,5,135,14,19,50
"272833",2020-05-14 20:00:00,19,43.8,80.3,17.7,2020,5,135,14,20,0
"272834",2020-05-14 20:10:00,18.9,45.9,79.8,17.6,2020,5,135,14,20,10
"272835",2020-05-14 20:20:00,18.9,45.9,79.8,17.6,2020,5,135,14,20,20
"272836",2020-05-14 20:30:00,18.9,54.1,79.1,17.5,2020,5,135,14,20,30
"272837",2020-05-14 20:40:00,18.8,52,79.1,17.5,2020,5,135,14,20,40
"272838",2020-05-14 20:50:00,18.8,53.5,79.2,17.4,2020,5,135,14,20,50
"272839",2020-05-14 21:00:00,18.7,50.9,79.3,17.4,2020,5,135,14,21,0
