"","horario","temp","vento","umid","sensa","ano","mes","dia","dia_do_mes","hora","min"
"263678",2020-02-08 05:20:00,20.1,15.8,88.7,18.8,2020,2,39,8,5,20
"263679",2020-02-08 05:30:00,19.8,17.7,88.7,18.6,2020,2,39,8,5,30
"263680",2020-02-08 05:40:00,19.4,20.4,88.7,18.1,2020,2,39,8,5,40
"263681",2020-02-08 05:50:00,19.3,19.6,88.7,18.1,2020,2,39,8,5,50
"263682",2020-02-08 06:00:00,19.2,20.5,88.7,17.9,2020,2,39,8,6,0
"263683",2020-02-08 06:10:00,19.2,20.4,88.7,17.9,2020,2,39,8,6,10
"263684",2020-02-08 06:20:00,19.4,17.2,88.7,18.2,2020,2,39,8,6,20
"263685",2020-02-08 06:30:00,19.8,16.8,88.7,18.6,2020,2,39,8,6,30
"263686",2020-02-08 06:40:00,20.5,15.6,88.7,19.3,2020,2,39,8,6,40
"263687",2020-02-08 06:50:00,21.3,15.9,88.7,20.1,2020,2,39,8,6,50
"263688",2020-02-08 07:00:00,21.6,15.2,0,20.5,2020,2,39,8,7,0
"263689",2020-02-08 07:10:00,21.5,15.8,0,20.4,2020,2,39,8,7,10
"263690",2020-02-08 07:20:00,22.5,18,83.6,21.4,2020,2,39,8,7,20
"263691",2020-02-08 07:30:00,22.7,16.8,82.9,21.5,2020,2,39,8,7,30
"263692",2020-02-08 07:40:00,22.9,18.1,81.8,21.8,2020,2,39,8,7,40
"263693",2020-02-08 07:50:00,23.4,22.4,79.3,22.3,2020,2,39,8,7,50
"263694",2020-02-08 08:00:00,23.9,27.3,77.9,22.8,2020,2,39,8,8,0
"263695",2020-02-08 08:10:00,24.4,25.1,76,23.3,2020,2,39,8,8,10
"263696",2020-02-08 08:20:00,25.1,20.2,75.3,23.9,2020,2,39,8,8,20
"263697",2020-02-08 08:30:00,25.2,26.7,73.1,24,2020,2,39,8,8,30
"263698",2020-02-08 08:40:00,25.5,30.3,71.4,24.3,2020,2,39,8,8,40
