"year","ECONOMIC.FREEDOM","rank","quartile","X1a_government_consumption","X1b_transfers","X1c_gov_enterprises","X1d_top_marg_tax_rate","X1_size_government","X2a_judicial_independence","X2b_impartial_courts","X2c_protection_property_rights","X2d_military_interference","X2e_integrity_legal_system","X2f_legal_enforcement_contracts","X2g_restrictions_sale_real_property","X2h_reliability_police","X2i_business_costs_crime","X2j_gender_adjustment","X2_property_rights","X3a_money_growth","X3b_std_inflation","X3c_inflation","X3d_freedom_own_foreign_currency","X3_sound_money","X4a_tariffs","X4b_regulatory_trade_barriers","X4c_black_market","X4d_control_movement_capital_ppl","X4_trade","X5a_credit_market_reg","X5b_labor_market_reg","X5c_business_reg","X5_regulation","continent"
2009,5.92,116,4,7.194117647,9.591280654,2,8,6.696349575,1.657145783,2.36690377,3.630654528,2.5,4.166666667,4.380510817,8.974447478,3.38419019,4.511285188,0.888888889,3.732843674,7.714690402,8.75132761,8.968021533,0,6.358509886,6.365511111,4.63143033,10,5.965104899,6.740511585,9.301393109,4.092421638,4.796549673,6.063454806,"South America"
2001,6.27,77,3,3.176470588,0,0,6,3.058823529,3.57444071753846,5.788050863,3.7448162718125,10,6.666666667,4.554788309,7.48437358630769,2.97254118416667,3.47546058258333,0.923076923,6.492669673,9.483084095,7.989985915,9.474517372,5,7.986896845,6.7,5.81579366269231,9,6.923076923,7.541025641,7.113061094,7.6204143314,6.03629394676923,6.28671064,"South America"
2013,7.88,10,1,7,8.113710678,10,7,8.028427669,7.021313367,5.416483479,6.636406625,7.5,7.5,5.109379145,9.066918247,8.80977322,6.053640916,0.897435897,6.653033775,8.56313578,7.869875515,9.641657853,10,9.018667287,9.468444444,7.218111311,10,6.486142458,8.293174553,9.226618588,5.288991503,7.678478963,7.398029685,"South America"
2000,5.67,100,4,4.352941176,8.709209096,0,5.5,4.640537568,3.507,5.845,3.28399,3.333333333,1.666666667,1.803958128,8.743539444,5.07924306325,3.04744748491667,1,4.02621251,8.278086767,8.811069881,8.155577644,0,6.311183573,7.851540072,6.20049,10,3.9361925,6.997055643,8.700099934,3.996041973,6.468009868,6.388050592,"South America"
1985,3.53,100,4,7.941176471,6.948228883,4,2,5.222351338,2.35821096411111,2.55997730788889,1.2,7.26187431372222,8.2,4.83173028717647,6.759935639,2.96151378141667,4.13942663741667,0.888888889,4.306509131,0,0,0,10,2.5,3.066666667,5.51217093761111,2,0,1.688888889,4.202535869,3.700633333,5.10110328216667,3.951584601,"South America"
2010,6.74,84,3,7.970588235,9.264577657,6,8.5,7.933791473,1.296289511,2.864077982,3.391446561,2.5,3.333333333,4.187770031,8.506083724,2.481578859,4.090240591,1,3.627868955,7.256516986,8.265183146,9.069767442,10,8.647866893,7.862844444,5.604470905,10,5.342267963,7.202395828,8.333333333,4.651956909,5.889519695,6.291603312,"South America"
1990,5.47,57,3,8.482480791,9.509536785,7,8,8.248004394,1.79046729911765,2.43259170705556,4.6,2.82781412338889,6.7,4.40935534152941,8.26589759835294,3.52758862483333,4.07787232666667,0.888888889,4.923049935,2.615386278,3.292,0,10,3.976846569,3.304444444,4.92609038005882,10,2,5.101481481,6,4.01958551376471,4.78501453158824,5.1153675,"South America"
1990,6,103.105263157895,3.42105263157895,7.10902559,0,2,3,4.036341863,3.57444071753846,3.95899371811111,1.2,7.43613155161111,1.4,4.548367217,7.48437358630769,2.97254118416667,3.47546058258333,0.923076923,3.281433758,1.865524309,0,6.898,0,2.190881077,6.32535873019048,5.81579366269231,8.2,5,6.54039064265,4.614614615,7.6204143314,6.03629394676923,7.02003938227778,"South America"
2008,6.5,91,3,8.064705882,9.374069795,4,8.5,7.484693919,0.955683979,2.486335,3.234110955,2.5,3.333333333,4.187770031,7.980145745,1.933371992,3.840639761,1,3.383487866,7.344674295,8.994803453,7.969091068,10,8.577142204,7.905333333,5.45252327,10,5.99504202,7.338224656,8.470242098,3.593553782,5.078469565,5.714088482,"South America"
2015,2.96,159,4,6.985294118,5.773841962,0,7,4.93978402,0.188571065,0.72931244,1.080327626,0.833333333,1.666666667,3.212148767,8.12971931,1.542288462,1.038382446,1,2.046750013,2.76840426,0,0,5,1.942101065,7.573022222,1.999863828,0,3.722060945,3.323736749,3.333333333,2.099009336,2.26086067,2.564401113,"South America"
