"variance","skewness","curtosis","entropy","class"
-0.64472,-4.6062,8.347,-2.7099,"genuine"
0.89512,4.7738,-4.8431,-5.5909,"forgery"
2.877,-4.0599,3.6259,-0.32544,"genuine"
-2.2987,-5.227,5.63,0.91722,"forgery"
-2.3242,11.5176,1.8231,-5.375,"genuine"
-0.16682,5.8974,0.49839,-0.70044,"genuine"
-2.9821,4.1986,-0.5898,-3.9642,"forgery"
2.1464,6.0795,-0.5778,-2.2302,"genuine"
2.3718,7.4908,0.015989,-1.7414,"genuine"
-4.9447,3.3005,1.063,-1.444,"forgery"
-2.9498,-8.273,10.2646,1.1629,"forgery"
4.4072,-0.070365,2.0416,1.1319,"genuine"
-3.6053,-5.974,10.0916,-0.82846,"forgery"
1.3183,1.9017,-3.3111,0.065071,"forgery"
0.11806,0.39108,-0.98223,0.42843,"forgery"
3.534,9.3614,-3.6316,-1.2461,"genuine"
4.0948,-2.9674,2.3689,0.75429,"genuine"
5.4021,3.1039,-1.1536,1.5651,"genuine"
4.1373,0.49248,1.093,1.8276,"genuine"
1.3234,3.2964,0.2362,-0.11984,"genuine"
3.7791,2.5762,1.3098,0.5655,"genuine"
0.52374,3.644,-4.0746,-1.9909,"forgery"
2.7296,2.8701,0.51124,0.5099,"genuine"
2.6682,10.216,-3.4414,-4.0069,"genuine"
4.6054,-4.0765,2.7587,0.31981,"genuine"
2.5635,6.7769,-0.61979,0.38576,"genuine"
0.26637,0.73252,-0.67891,0.03533,"forgery"
-3.38,-0.7077,2.5325,0.71808,"forgery"
3.6277,0.9829,0.68861,0.63403,"genuine"
-1.9983,-6.6072,4.8254,-0.41984,"forgery"
-4.8554,-5.9037,10.9818,-0.82199,"forgery"
3.0242,-3.3378,2.5865,-0.54785,"genuine"
2.1319,-2.0403,2.5574,-0.061652,"genuine"
-3.2692,-12.7406,15.5573,-0.14182,"forgery"
2.4226,-4.5752,5.947,0.21507,"genuine"
4.3239,-4.8835,3.4356,-0.5776,"genuine"
1.143,0.83391,5.4552,-0.56984,"genuine"
-0.96511,9.4111,1.7305,-4.8629,"genuine"
-1.3968,-9.6698,9.4652,-0.34872,"forgery"
-1.7104,-4.778,6.2109,0.3974,"forgery"
-0.97325,-6.4168,5.6026,1.0323,"forgery"
-6.3364,9.2848,0.014275,-6.7844,"forgery"
0.21431,-0.69529,0.87711,0.29653,"forgery"
-2.2482,3.0915,-2.3969,-2.6711,"forgery"
-2.6864,-0.097265,0.61663,0.061192,"forgery"
0.31803,-0.99326,1.0947,0.88619,"forgery"
0.7376,4.8525,-4.7986,-5.6659,"forgery"
