movieid,name,genres_general,genres
"1","Toy Story (1995)","Adventure|Animation|Children|Comedy|Fantasy","Adventure"
"1","Toy Story (1995)","Adventure|Animation|Children|Comedy|Fantasy","Animation"
"1","Toy Story (1995)","Adventure|Animation|Children|Comedy|Fantasy","Children"
"1","Toy Story (1995)","Adventure|Animation|Children|Comedy|Fantasy","Comedy"
"1","Toy Story (1995)","Adventure|Animation|Children|Comedy|Fantasy","Fantasy"
"2","Jumanji (1995)","Adventure|Children|Fantasy","Adventure"
"2","Jumanji (1995)","Adventure|Children|Fantasy","Children"
"2","Jumanji (1995)","Adventure|Children|Fantasy","Fantasy"
"3","Grumpier Old Men (1995)","Comedy|Romance","Comedy"
"3","Grumpier Old Men (1995)","Comedy|Romance","Romance"
"4","Waiting to Exhale (1995)","Comedy|Drama|Romance","Comedy"
"4","Waiting to Exhale (1995)","Comedy|Drama|Romance","Drama"
"4","Waiting to Exhale (1995)","Comedy|Drama|Romance","Romance"
"5","Father of the Bride Part II (1995)","Comedy","Comedy"
"6","Heat (1995)","Action|Crime|Thriller","Action"
"6","Heat (1995)","Action|Crime|Thriller","Crime"
"6","Heat (1995)","Action|Crime|Thriller","Thriller"
"7","Sabrina (1995)","Comedy|Romance","Comedy"
"7","Sabrina (1995)","Comedy|Romance","Romance"
"8","Tom and Huck (1995)","Adventure|Children","Adventure"
"8","Tom and Huck (1995)","Adventure|Children","Children"
"9","Sudden Death (1995)","Action","Action"
"10","GoldenEye (1995)","Action|Adventure|Thriller","Action"
"10","GoldenEye (1995)","Action|Adventure|Thriller","Adventure"
"10","GoldenEye (1995)","Action|Adventure|Thriller","Thriller"
"11","American President, The (1995)","Comedy|Drama|Romance","Comedy"
"11","American President, The (1995)","Comedy|Drama|Romance","Drama"
"11","American President, The (1995)","Comedy|Drama|Romance","Romance"
"12","Dracula: Dead and Loving It (1995)","Comedy|Horror","Comedy"
"12","Dracula: Dead and Loving It (1995)","Comedy|Horror","Horror"
"13","Balto (1995)","Adventure|Animation|Children","Adventure"
"13","Balto (1995)","Adventure|Animation|Children","Animation"
"13","Balto (1995)","Adventure|Animation|Children","Children"
"14","Nixon (1995)","Drama","Drama"
"15","Cutthroat Island (1995)","Action|Adventure|Romance","Action"
"15","Cutthroat Island (1995)","Action|Adventure|Romance","Adventure"
"15","Cutthroat Island (1995)","Action|Adventure|Romance","Romance"
"16","Casino (1995)","Crime|Drama","Crime"
"16","Casino (1995)","Crime|Drama","Drama"
"17","Sense and Sensibility (1995)","Drama|Romance","Drama"
"17","Sense and Sensibility (1995)","Drama|Romance","Romance"
"18","Four Rooms (1995)","Comedy","Comedy"
"19","Ace Ventura: When Nature Calls (1995)","Comedy","Comedy"
"20","Money Train (1995)","Action|Comedy|Crime|Drama|Thriller","Action"
"20","Money Train (1995)","Action|Comedy|Crime|Drama|Thriller","Comedy"
"20","Money Train (1995)","Action|Comedy|Crime|Drama|Thriller","Crime"
"20","Money Train (1995)","Action|Comedy|Crime|Drama|Thriller","Drama"
"20","Money Train (1995)","Action|Comedy|Crime|Drama|Thriller","Thriller"
"21","Get Shorty (1995)","Comedy|Crime|Thriller","Comedy"
"21","Get Shorty (1995)","Comedy|Crime|Thriller","Crime"
"21","Get Shorty (1995)","Comedy|Crime|Thriller","Thriller"
"22","Copycat (1995)","Crime|Drama|Horror|Mystery|Thriller","Crime"
"22","Copycat (1995)","Crime|Drama|Horror|Mystery|Thriller","Drama"
"22","Copycat (1995)","Crime|Drama|Horror|Mystery|Thriller","Horror"
"22","Copycat (1995)","Crime|Drama|Horror|Mystery|Thriller","Mystery"
"22","Copycat (1995)","Crime|Drama|Horror|Mystery|Thriller","Thriller"
"23","Assassins (1995)","Action|Crime|Thriller","Action"
"23","Assassins (1995)","Action|Crime|Thriller","Crime"
"23","Assassins (1995)","Action|Crime|Thriller","Thriller"
"24","Powder (1995)","Drama|Sci-Fi","Drama"
"24","Powder (1995)","Drama|Sci-Fi","Sci-Fi"
"25","Leaving Las Vegas (1995)","Drama|Romance","Drama"
"25","Leaving Las Vegas (1995)","Drama|Romance","Romance"
"26","Othello (1995)","Drama","Drama"
"27","Now and Then (1995)","Children|Drama","Children"
"27","Now and Then (1995)","Children|Drama","Drama"
"28","Persuasion (1995)","Drama|Romance","Drama"
"28","Persuasion (1995)","Drama|Romance","Romance"
"29","City of Lost Children, The (Cité des enfants perdus, La) (1995)","Adventure|Drama|Fantasy|Mystery|Sci-Fi","Adventure"
"29","City of Lost Children, The (Cité des enfants perdus, La) (1995)","Adventure|Drama|Fantasy|Mystery|Sci-Fi","Drama"
"29","City of Lost Children, The (Cité des enfants perdus, La) (1995)","Adventure|Drama|Fantasy|Mystery|Sci-Fi","Fantasy"
"29","City of Lost Children, The (Cité des enfants perdus, La) (1995)","Adventure|Drama|Fantasy|Mystery|Sci-Fi","Mystery"
"29","City of Lost Children, The (Cité des enfants perdus, La) (1995)","Adventure|Drama|Fantasy|Mystery|Sci-Fi","Sci-Fi"
"30","Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)","Crime|Drama","Crime"
"30","Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)","Crime|Drama","Drama"
"31","Dangerous Minds (1995)","Drama","Drama"
"32","Twelve Monkeys (a.k.a. 12 Monkeys) (1995)","Mystery|Sci-Fi|Thriller","Mystery"
"32","Twelve Monkeys (a.k.a. 12 Monkeys) (1995)","Mystery|Sci-Fi|Thriller","Sci-Fi"
"32","Twelve Monkeys (a.k.a. 12 Monkeys) (1995)","Mystery|Sci-Fi|Thriller","Thriller"
"34","Babe (1995)","Children|Drama","Children"
"34","Babe (1995)","Children|Drama","Drama"
"36","Dead Man Walking (1995)","Crime|Drama","Crime"
"36","Dead Man Walking (1995)","Crime|Drama","Drama"
"38","It Takes Two (1995)","Children|Comedy","Children"
"38","It Takes Two (1995)","Children|Comedy","Comedy"
"39","Clueless (1995)","Comedy|Romance","Comedy"
"39","Clueless (1995)","Comedy|Romance","Romance"
"40","Cry, the Beloved Country (1995)","Drama","Drama"
"41","Richard III (1995)","Drama|War","Drama"
"41","Richard III (1995)","Drama|War","War"
"42","Dead Presidents (1995)","Action|Crime|Drama","Action"
"42","Dead Presidents (1995)","Action|Crime|Drama","Crime"
"42","Dead Presidents (1995)","Action|Crime|Drama","Drama"
"43","Restoration (1995)","Drama","Drama"
"44","Mortal Kombat (1995)","Action|Adventure|Fantasy","Action"
"44","Mortal Kombat (1995)","Action|Adventure|Fantasy","Adventure"
"44","Mortal Kombat (1995)","Action|Adventure|Fantasy","Fantasy"
"45","To Die For (1995)","Comedy|Drama|Thriller","Comedy"
"45","To Die For (1995)","Comedy|Drama|Thriller","Drama"
"45","To Die For (1995)","Comedy|Drama|Thriller","Thriller"
"46","How to Make an American Quilt (1995)","Drama|Romance","Drama"
"46","How to Make an American Quilt (1995)","Drama|Romance","Romance"
"47","Seven (a.k.a. Se7en) (1995)","Mystery|Thriller","Mystery"
"47","Seven (a.k.a. Se7en) (1995)","Mystery|Thriller","Thriller"
"48","Pocahontas (1995)","Animation|Children|Drama|Musical|Romance","Animation"
"48","Pocahontas (1995)","Animation|Children|Drama|Musical|Romance","Children"
"48","Pocahontas (1995)","Animation|Children|Drama|Musical|Romance","Drama"
"48","Pocahontas (1995)","Animation|Children|Drama|Musical|Romance","Musical"
"48","Pocahontas (1995)","Animation|Children|Drama|Musical|Romance","Romance"
"49","When Night Is Falling (1995)","Drama|Romance","Drama"
"49","When Night Is Falling (1995)","Drama|Romance","Romance"
"50","Usual Suspects, The (1995)","Crime|Mystery|Thriller","Crime"
"50","Usual Suspects, The (1995)","Crime|Mystery|Thriller","Mystery"
"50","Usual Suspects, The (1995)","Crime|Mystery|Thriller","Thriller"
"52","Mighty Aphrodite (1995)","Comedy|Drama|Romance","Comedy"
"52","Mighty Aphrodite (1995)","Comedy|Drama|Romance","Drama"
"52","Mighty Aphrodite (1995)","Comedy|Drama|Romance","Romance"
"53","Lamerica (1994)","Adventure|Drama","Adventure"
"53","Lamerica (1994)","Adventure|Drama","Drama"
"54","Big Green, The (1995)","Children|Comedy","Children"
"54","Big Green, The (1995)","Children|Comedy","Comedy"
"55","Georgia (1995)","Drama","Drama"
"57","Home for the Holidays (1995)","Drama","Drama"
"58","Postman, The (Postino, Il) (1994)","Comedy|Drama|Romance","Comedy"
"58","Postman, The (Postino, Il) (1994)","Comedy|Drama|Romance","Drama"
"58","Postman, The (Postino, Il) (1994)","Comedy|Drama|Romance","Romance"
"60","Indian in the Cupboard, The (1995)","Adventure|Children|Fantasy","Adventure"
"60","Indian in the Cupboard, The (1995)","Adventure|Children|Fantasy","Children"
"60","Indian in the Cupboard, The (1995)","Adventure|Children|Fantasy","Fantasy"
"61","Eye for an Eye (1996)","Drama|Thriller","Drama"
"61","Eye for an Eye (1996)","Drama|Thriller","Thriller"
"62","Mr. Holland's Opus (1995)","Drama","Drama"
"63","Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)","Comedy|Crime","Comedy"
"63","Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)","Comedy|Crime","Crime"
"64","Two if by Sea (1996)","Comedy|Romance","Comedy"
"64","Two if by Sea (1996)","Comedy|Romance","Romance"
"65","Bio-Dome (1996)","Comedy","Comedy"
"66","Lawnmower Man 2: Beyond Cyberspace (1996)","Action|Sci-Fi|Thriller","Action"
"66","Lawnmower Man 2: Beyond Cyberspace (1996)","Action|Sci-Fi|Thriller","Sci-Fi"
"66","Lawnmower Man 2: Beyond Cyberspace (1996)","Action|Sci-Fi|Thriller","Thriller"
"68","French Twist (Gazon maudit) (1995)","Comedy|Romance","Comedy"
"68","French Twist (Gazon maudit) (1995)","Comedy|Romance","Romance"
"69","Friday (1995)","Comedy","Comedy"
"70","From Dusk Till Dawn (1996)","Action|Comedy|Horror|Thriller","Action"
"70","From Dusk Till Dawn (1996)","Action|Comedy|Horror|Thriller","Comedy"
"70","From Dusk Till Dawn (1996)","Action|Comedy|Horror|Thriller","Horror"
"70","From Dusk Till Dawn (1996)","Action|Comedy|Horror|Thriller","Thriller"
"71","Fair Game (1995)","Action","Action"
"72","Kicking and Screaming (1995)","Comedy|Drama","Comedy"
"72","Kicking and Screaming (1995)","Comedy|Drama","Drama"
"73","Misérables, Les (1995)","Drama|War","Drama"
"73","Misérables, Les (1995)","Drama|War","War"
"74","Bed of Roses (1996)","Drama|Romance","Drama"
"74","Bed of Roses (1996)","Drama|Romance","Romance"
"75","Big Bully (1996)","Comedy|Drama","Comedy"
"75","Big Bully (1996)","Comedy|Drama","Drama"
"76","Screamers (1995)","Action|Sci-Fi|Thriller","Action"
"76","Screamers (1995)","Action|Sci-Fi|Thriller","Sci-Fi"
"76","Screamers (1995)","Action|Sci-Fi|Thriller","Thriller"
"77","Nico Icon (1995)","Documentary","Documentary"
"78","Crossing Guard, The (1995)","Action|Crime|Drama|Thriller","Action"
"78","Crossing Guard, The (1995)","Action|Crime|Drama|Thriller","Crime"
"78","Crossing Guard, The (1995)","Action|Crime|Drama|Thriller","Drama"
"78","Crossing Guard, The (1995)","Action|Crime|Drama|Thriller","Thriller"
"79","Juror, The (1996)","Drama|Thriller","Drama"
"79","Juror, The (1996)","Drama|Thriller","Thriller"
"80","White Balloon, The (Badkonake sefid) (1995)","Children|Drama","Children"
"80","White Balloon, The (Badkonake sefid) (1995)","Children|Drama","Drama"
"81","Things to Do in Denver When You're Dead (1995)","Crime|Drama|Romance","Crime"
"81","Things to Do in Denver When You're Dead (1995)","Crime|Drama|Romance","Drama"
"81","Things to Do in Denver When You're Dead (1995)","Crime|Drama|Romance","Romance"
"82","Antonia's Line (Antonia) (1995)","Comedy|Drama","Comedy"
"82","Antonia's Line (Antonia) (1995)","Comedy|Drama","Drama"
"83","Once Upon a Time... When We Were Colored (1995)","Drama|Romance","Drama"
"83","Once Upon a Time... When We Were Colored (1995)","Drama|Romance","Romance"
"85","Angels and Insects (1995)","Drama|Romance","Drama"
"85","Angels and Insects (1995)","Drama|Romance","Romance"
"86","White Squall (1996)","Action|Adventure|Drama","Action"
"86","White Squall (1996)","Action|Adventure|Drama","Adventure"
"86","White Squall (1996)","Action|Adventure|Drama","Drama"
"87","Dunston Checks In (1996)","Children|Comedy","Children"
"87","Dunston Checks In (1996)","Children|Comedy","Comedy"
"88","Black Sheep (1996)","Comedy","Comedy"
"89","Nick of Time (1995)","Action|Thriller","Action"
"89","Nick of Time (1995)","Action|Thriller","Thriller"
"92","Mary Reilly (1996)","Drama|Horror|Thriller","Drama"
"92","Mary Reilly (1996)","Drama|Horror|Thriller","Horror"
"92","Mary Reilly (1996)","Drama|Horror|Thriller","Thriller"
"93","Vampire in Brooklyn (1995)","Comedy|Horror|Romance","Comedy"
"93","Vampire in Brooklyn (1995)","Comedy|Horror|Romance","Horror"
"93","Vampire in Brooklyn (1995)","Comedy|Horror|Romance","Romance"
"94","Beautiful Girls (1996)","Comedy|Drama|Romance","Comedy"
"94","Beautiful Girls (1996)","Comedy|Drama|Romance","Drama"
"94","Beautiful Girls (1996)","Comedy|Drama|Romance","Romance"
"95","Broken Arrow (1996)","Action|Adventure|Thriller","Action"
"95","Broken Arrow (1996)","Action|Adventure|Thriller","Adventure"
"95","Broken Arrow (1996)","Action|Adventure|Thriller","Thriller"
"96","In the Bleak Midwinter (1995)","Comedy|Drama","Comedy"
"96","In the Bleak Midwinter (1995)","Comedy|Drama","Drama"
"97","Hate (Haine, La) (1995)","Crime|Drama","Crime"
"97","Hate (Haine, La) (1995)","Crime|Drama","Drama"
"99","Heidi Fleiss: Hollywood Madam (1995)","Documentary","Documentary"
"100","City Hall (1996)","Drama|Thriller","Drama"
"100","City Hall (1996)","Drama|Thriller","Thriller"
"101","Bottle Rocket (1996)","Adventure|Comedy|Crime|Romance","Adventure"
"101","Bottle Rocket (1996)","Adventure|Comedy|Crime|Romance","Comedy"
"101","Bottle Rocket (1996)","Adventure|Comedy|Crime|Romance","Crime"
"101","Bottle Rocket (1996)","Adventure|Comedy|Crime|Romance","Romance"
"102","Mr. Wrong (1996)","Comedy","Comedy"
"103","Unforgettable (1996)","Mystery|Sci-Fi|Thriller","Mystery"
"103","Unforgettable (1996)","Mystery|Sci-Fi|Thriller","Sci-Fi"
